"date"	"m30_density"
2014-05-22	9485680
2014-05-23	9471023
2014-05-24	5079291
2014-05-25	6000892
2014-05-26	9312560
2014-05-27	9154097
2014-05-28	9236531
2014-05-29	9455655
2014-05-30	9559652
2014-05-31	6922493
2014-06-01	6105169
2014-06-02	9014220
2014-06-03	9176383
2014-06-04	9183337
2014-06-05	9362581
2014-06-06	9428224
2014-06-07	6821880
2014-06-08	6242725
2014-06-09	8942664
2014-06-10	9145904
2014-06-11	9009369
2014-06-12	7396491
2014-06-13	9333414
2014-06-14	6629851
2014-06-15	5931943
2014-06-16	9035492
2014-06-17	9208639
2014-06-18	9296760
2014-06-19	5348782
2014-06-20	8442249
2014-06-21	5896637
2014-06-22	5650005
2014-06-23	8890259
2014-06-24	9137609
2014-06-25	8962435
2014-06-26	9455992
2014-06-27	9422892
2014-06-28	6422818
2014-06-29	4597178
2014-06-30	9213668
2014-07-01	9010148
2014-07-02	9142224
2014-07-03	8436463
2014-07-04	8896805
2014-07-05	5817800
2014-07-06	5234504
2014-07-07	8699671
2014-07-08	8752105
2014-07-09	8750810
2014-07-10	8764109
2014-07-11	8789415
2014-07-12	4955352
2014-07-13	4051739
2014-07-14	8915883
2014-07-15	8634705
2014-07-16	8647502
2014-07-17	8770889
2014-07-18	8574498
2014-07-19	5437727
2014-07-20	5041490
2014-07-21	8228466
2014-07-22	8401034
2014-07-23	9338544.5
2014-07-24	10276055
2014-07-25	8195084
2014-07-26	4056486
2014-07-27	5014706
2014-07-28	8203784
2014-07-29	8322963
2014-07-30	6743817
2014-07-31	8583738
2014-08-01	7845519
2014-08-02	4898998
2014-08-03	4416475
2014-08-04	6996512
2014-08-05	5349671
2014-08-06	6898566
2014-08-07	8236948
2014-08-08	6723109
2014-08-09	4250437
2014-08-10	3990325
2014-08-11	6259500
2014-08-12	6267926
2014-08-13	6349441
2014-08-14	6444794
2014-08-15	3757465
2014-08-16	3799855
2014-08-17	3817818
2014-08-18	6231153
2014-08-19	6284343
2014-08-20	6343008
2014-08-21	6330050
2014-08-22	6413069
2014-08-23	4337400
2014-08-24	4210775
2014-08-25	6997370
2014-08-26	6982968
2014-08-27	7197711
2014-08-28	7427973
2014-08-29	7586330
2014-08-30	5308204
2014-08-31	5047578
2014-09-01	8266537
2014-09-02	8451981
2014-09-03	8617313
2014-09-04	8691887
2014-09-05	8705447
2014-09-06	5869138
2014-09-07	5512007
2014-09-08	8624557
2014-09-09	8729558
2014-09-10	8830260
2014-09-11	8887278
2014-09-12	9031015
2014-09-13	6191135
2014-09-14	4595143
2014-09-15	6905234
2014-09-16	8881246
2014-09-17	8909554
2014-09-18	9042920
2014-09-19	9204827
2014-09-20	6446570
2014-09-21	5858406
2014-09-22	8820538
2014-09-23	8987677
2014-09-24	6833791
2014-09-25	1975033
2014-09-26	9105488
2014-09-27	5858406
2014-09-28	6950066
2014-09-29	9105488
2014-09-30	9027498
2014-10-01	9027498
